original,augmented
"paper company negative territory , stora enso r shedding 1.62 pct 12.73 eur , upm-kymmene 0.80 pct 18.64 eur m-real b 0.18 pct lower 5.57 eur .","paper company negative territory , stora enso r shedding 1.62 pct 12.73 eur , upm-kymmene 0.80 pct 18.64 eur m-real b 0.18 pct lower 5.57 eur . the ."
kauko-telko 's centralized administration dissolved appropriate part transferred operating activity group administration end year .,kauko-telko 's centralized administration dissolved appropriate part transferred operating activity group administration end year . ' have .
operating profit quarter april-june 2006 amounted eur182 .2 sale eur3 .62 bn .,operating profit quarter april-june 2006 amounted eur182 .2 sale eur3 .62 bn . ( that .
atrium chose delight attract consumer 25-45 age group atrium fresh range microwaveable meal .,atrium chose delight attract consumer 25-45 age group atrium fresh range microwaveable meal . is ( or - in / .
"finnish solution provider affecto oyj hel : afe1v said today slipped net loss eur 115,000 usd 152,000 second quarter 2010 profit eur 845,000 corresponding period year earlier .","finnish solution provider affecto oyj hel : afe1v said today slipped net loss eur 115,000 usd 152,000 second quarter 2010 profit eur 845,000 corresponding period year earlier . ) ."
u sanction put gazprom-shell alliance plan jeopardy,u sanction put gazprom-shell alliance plan jeopardy with - ( _ or and .
"profit period eur 10.9 mn , eur 14.3 mn 2009 .","profit period eur 10.9 mn , eur 14.3 mn 2009 . - "" is ."
"profit period eur 5.9 mn , eur 1.3 mn .","profit period eur 5.9 mn , eur 1.3 mn . and "" can on and ."
operating profit fell eur 20.3 mn eur 74.2 mn second quarter 2008 .,operating profit fell eur 20.3 mn eur 74.2 mn second quarter 2008 . on .
"however , sale returned growth april-june 2010 , ceo pekka eloholma said .","however , sale returned growth april-june 2010 , ceo pekka eloholma said . this ."
operating profit totaled eur 18.6 mn 8.3 % net sale .,operating profit totaled eur 18.6 mn 8.3 % net sale . said 's is .
"change market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant , according company .","change market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant , according company . with - a is that that for is to the at the was with ) - , ."
"connection deal , digia employ 19 person nokia oslo silicon valley usa .","connection deal , digia employ 19 person nokia oslo silicon valley usa . s - ."" , - of [ - ) a : from on ) from , for was / - I 's 's for : and for : !"
"brazilian unit finnish security solution provider f-secure signed 1,500 new client last year , online news source reseller web quoted division 's commercial director , vladimir brand+úo , saying .","brazilian unit finnish security solution provider f-secure signed 1,500 new client last year , online news source reseller web quoted division 's commercial director , vladimir brand+úo , saying . 1 - ( / : - and : _ ."
fair value company 's investment property went eur 2.768 billion end 2009 eur 2.916 billion year earlier .,"fair value company 's investment property went eur 2.768 billion end 2009 eur 2.916 billion year earlier . - ) are ly he was The , ly , in : by on ."
"dealer said share largely hit investor disappointment refining margin 9.48 usd per barrel quarter performance shipping unit , saw ebit drop 5 mln eur 20 mln eur year amid fall volume tanker rate .","dealer said share largely hit investor disappointment refining margin 9.48 usd per barrel quarter performance shipping unit , saw ebit drop 5 mln eur 20 mln eur year amid fall volume tanker rate . ' on - ) the - has : "" ) , with at have of of will to to / as to has 's to to in / the to"
"` testament quality lte solution commitment japanese market ' , added .","` testament quality lte solution commitment japanese market ' , added . and ( for by s a 's was by , on I have was to or ' The is ) The : the and , ( to ( ( The"
company ' aim finalize negotiation sign contract start october 2008 .,"company ' aim finalize negotiation sign contract start october 2008 . and - - or / is ,"" - the , is "" 's , ."
"metso foundry jyvaskyla oy discontinue production line 30 september 2008 , company said .","metso foundry jyvaskyla oy discontinue production line 30 september 2008 , company said . a was has and ."
"total six polled analyst rated m-real -- two gave `` buy `` - `` accumulate `` , three gave `` hold `` one gave `` sell `` .","total six polled analyst rated m-real -- two gave `` buy `` - `` accumulate `` , three gave `` hold `` one gave `` sell `` . and a is - of - ."
"september 2010 , finnish group agreed buy danish company rose poultry a-s eur23 .9 combination cash stock .","september 2010 , finnish group agreed buy danish company rose poultry a-s eur23 .9 combination cash stock . by 's a ."
$ yang double bottom 5.2,$ yang double bottom 5.2 - 9 6 ( 3 to in ( $ 3 20 - ) .
tesco share price grocer face sfo investigation outcome,tesco share price grocer face sfo investigation outcome 's .
$ aapl news becoming bullish http : //stks.co/tmu,"$ aapl news becoming bullish http : //stks.co/tmu of 1 is and ) 10 of , 8 ( 3 "" $ of 1 to ) for 20 0 from 3 s s 1 ."
"g engineering install valve liquefied natural gas lng plant built uae lng extraction gas plant operator gasco ruwais , uae .","g engineering install valve liquefied natural gas lng plant built uae lng extraction gas plant operator gasco ruwais , uae . in s ) : with ."
percentage share voting right calculated proportion total number share registered trade register total number voting right related .,percentage share voting right calculated proportion total number share registered trade register total number voting right related . of that .
"m-real said ` ground ' rumor , ` circulating market month . '","m-real said ` ground ' rumor , ` circulating market month . ' / I , s ; 2 ; ( "" ) , / , - : , - with ."
"lember said matter topical also estonia , bill drafted social affair ministry would scrap old-age pension favorable condition .","lember said matter topical also estonia , bill drafted social affair ministry would scrap old-age pension favorable condition . in will ( ."
- moody 's said gave p a1 long-term senior unsecured p p-1 short-term debt rating finnish lender aktia bank 's eur1bn usd1 .4 bn euro medium-term note emtn program 25 march 2011 .,- moody 's said gave p a1 long-term senior unsecured p p-1 short-term debt rating finnish lender aktia bank 's eur1bn usd1 .4 bn euro medium-term note emtn program 25 march 2011 . - The in the .
$ tsla recall,"$ tsla recall 3 I 7 S , 20 4 2 s , 20 s S 7 a ."
"liquidity providing interrupted may 11 , 2007 aspocomp group oyj 's share traded 0.50 cent ( aspocomp 's stock exchange release 11.5.2007 ) .","liquidity providing interrupted may 11 , 2007 aspocomp group oyj 's share traded 0.50 cent ( aspocomp 's stock exchange release 11.5.2007 ) . 's ( , "" ) , ( "" ,"" - - ( in the on has ."
hargreaves lansdown buck weak market see asset rise 2.6 percent,"hargreaves lansdown buck weak market see asset rise 2.6 percent at on was - it are - , of , , "" ."
"12.59 pm , omx helsinki 25 index 0.32 pct lower 2,694.81 .","12.59 pm , omx helsinki 25 index 0.32 pct lower 2,694.81 . on - - : 3 / , , ' a and ( / ."
"decision mean temporary lay-offs fixed duration company 's nastola jyvaskyla unit , southern central finland , respectively .","decision mean temporary lay-offs fixed duration company 's nastola jyvaskyla unit , southern central finland , respectively . al and ."
value order eur 10mn .,"value order eur 10mn . the are _ to in the - 's , _ : 's - ."
m laakso responsible hkscan 's hr function development group ` smarket area .,"m laakso responsible hkscan 's hr function development group ` smarket area . and / , 's 3 to was ' and and 0 ."
"fiskars also engaged global supply marine energy equipment solution service associated company , wartsila corporation .","fiskars also engaged global supply marine energy equipment solution service associated company , wartsila corporation . in _ of "" ; to ( a - 5 , and the have ( 6 ."
aberdeen asset management gain foothold china,"aberdeen asset management gain foothold china on is - ( - had - from / have to can , or and , - and 's ,"" "" , ."
finland 's dominating rail company vr planning set infected passenger long-distance trip separate carriage .,finland 's dominating rail company vr planning set infected passenger long-distance trip separate carriage . f .
"november , finnish government decreased ownership company 31.1 percent 38 percent .","november , finnish government decreased ownership company 31.1 percent 38 percent . - to in of as : at a on from - ."
"finnish exel composite , technology company design , manufacture , market composite profile tube various industrial application , report net sale decreased 0.6 % second quarter 2010 eur 19.2 mn eur 19.3 mn corresponding period 2009 .","finnish exel composite , technology company design , manufacture , market composite profile tube various industrial application , report net sale decreased 0.6 % second quarter 2010 eur 19.2 mn eur 19.3 mn corresponding period 2009 . ."
"bavelloni 's nst 's joint venture , bavelloni tool , completes semiproducts produced italy high-quality tool sold diapol brand .","bavelloni 's nst 's joint venture , bavelloni tool , completes semiproducts produced italy high-quality tool sold diapol brand . , , and in for ."
tool patent pending design allows consumer lay entire project removable plate using multiple clear stamp kind .,tool patent pending design allows consumer lay entire project removable plate using multiple clear stamp kind . of - that / you of from !
$ googl short 740 upper bb overbought,"$ googl short 740 upper bb overbought and 4 S A The "" from 9 15 - / for _ and a 5 - is or 1 0 and ( - 1 and - 3 s 3"
"light curfew , curl latest bestseller treat eye perfect reading light luceplan .","light curfew , curl latest bestseller treat eye perfect reading light luceplan . of the "" , "" ."" , and ."
"upm-kymmene corp. , world 's largest maker magazine paper , tuesday reported 19-percent profit drop lower paper price , higher cost strong euro hurt revenue .","upm-kymmene corp. , world 's largest maker magazine paper , tuesday reported 19-percent profit drop lower paper price , higher cost strong euro hurt revenue . , about on in ."
total value contract eur 8 million .,"total value contract eur 8 million . a from ( at is and / with to you , by of ) the ."
"prerequisite inclusion program receipt gain key employee acquire aspo share amount determined board advance , maximum .","prerequisite inclusion program receipt gain key employee acquire aspo share amount determined board advance , maximum . he a a - - ."
mr. doring eaton since 1989 acted business unit manager eaton 's power control business unit since january 2007 .,"mr. doring eaton since 1989 acted business unit manager eaton 's power control business unit since january 2007 . 's <|endoftext|> , ."
"250 sq 2,691 sq ft store copenhagen 's premier shopping district inaugurated today , strengthening company 's presence nordic capital .","250 sq 2,691 sq ft store copenhagen 's premier shopping district inaugurated today , strengthening company 's presence nordic capital . with 2 in , as ( of / - with ; s "" in in = ."
"financial statement first quarter 2010 , tikkurila reported discontinued operation .","financial statement first quarter 2010 , tikkurila reported discontinued operation . for the as is time ."
"world 's second largest stainless steel maker said net profit three-month period dec. 31 surged euro603 million u $ 781 million , euro3 .33 u $ 4.31 per share , euro172 million , euro0 .94 per share , previous year .","world 's second largest stainless steel maker said net profit three-month period dec. 31 surged euro603 million u $ 781 million , euro3 .33 u $ 4.31 per share , euro172 million , euro0 .94 per share , previous year . ) - that with s ."
"name applicant : jot automation oyname inventor : mammila tuomo , piirainen mika kellokoski mikaapplication . : 2424-kolnp-2008 adate filing application : 16-06-2008publication date : 30/01/2009","name applicant : jot automation oyname inventor : mammila tuomo , piirainen mika kellokoski mikaapplication . : 2424-kolnp-2008 adate filing application : 16-06-2008publication date : 30/01/2009 "" I of , s = , ' with 's ' a has as "" , of - ."
netflix grows effort create loyal customer $ nflx http : //t.co/5qxbkobphe,netflix grows effort create loyal customer $ nflx http : //t.co/5qxbkobphe ) on / - a 2 or with and is a .
"omx nordic 40 omxn40 index , comprising 40 traded nordic stock nasdaq omx exchange , closed 0.87 % 1,064.14 point thursday .","omx nordic 40 omxn40 index , comprising 40 traded nordic stock nasdaq omx exchange , closed 0.87 % 1,064.14 point thursday . a a and : and ."
$ aapl nibbling small long via 525 .. buying 13min chart ..,"$ aapl nibbling small long via 525 .. buying 13min chart .. 6 6 , is 4 20 of 7 _ 6 4 $ : 7 15 is ."
operating margin aker yard cruise & ferry division went 8.3 % 6.4 % first quarter 2007 .,operating margin aker yard cruise & ferry division went 8.3 % 6.4 % first quarter 2007 . ) .
"$ tyc break new high , lot technical looking great right .","$ tyc break new high , lot technical looking great right . of "" - ."
"eero katajavuori , currently group vice president , human resource , take year-long sabbatical starting october 1 , 2010 .","eero katajavuori , currently group vice president , human resource , take year-long sabbatical starting october 1 , 2010 . is , it ( for 's , , and 3 "" 2 ; , a in I a in - are , ."
"whats $ lulu ? number looked good , great , good . think conference call instill confidence .","whats $ lulu ? number looked good , great , good . think conference call instill confidence . ."
adjustment measure carried phase secure delivery capability .,adjustment measure carried phase secure delivery capability . a .
"alma medium corporation press release 15 march 2010 tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local paper , tyrvaan sanomat paikallissanomat , appearing sastamala neighbouring municipality , bought suomen paikallissanomat oy .","alma medium corporation press release 15 march 2010 tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local paper , tyrvaan sanomat paikallissanomat , appearing sastamala neighbouring municipality , bought suomen paikallissanomat oy . 's as in ."
"temporary lay-offs , affecting entire workforce , also implemented .","temporary lay-offs , affecting entire workforce , also implemented . an of ing an t 's er s ing st in ."
"meeting medium analyst held day 10:30 a.m. stonesoft headquarters helsinki , italahdenkatu 22 a. interim report presented stonesoft 's ceo ilkka hiidenheimo .","meeting medium analyst held day 10:30 a.m. stonesoft headquarters helsinki , italahdenkatu 22 a. interim report presented stonesoft 's ceo ilkka hiidenheimo . the on at for the 's !"
"finnish sampo-rosenlew manufacture approximately seven forest machine monthly , half machine exported .","finnish sampo-rosenlew manufacture approximately seven forest machine monthly , half machine exported . s is s s : on and , 8 ."
"facebook , near buy point last week , face different technical test today http : //t.co/c72llmpinm $ fb $ aapl $ nflx http : //t.co/fpfbytypuy","facebook , near buy point last week , face different technical test today http : //t.co/c72llmpinm $ fb $ aapl $ nflx http : //t.co/fpfbytypuy ."
"4 february 2011 - finnish broadband data communication system provider teleste oyj hel : tlt1v said wednesday net profit rocketed eur4 .8 2010 eur416 ,000 2009 lifted dividend proposal .","4 february 2011 - finnish broadband data communication system provider teleste oyj hel : tlt1v said wednesday net profit rocketed eur4 .8 2010 eur416 ,000 2009 lifted dividend proposal . / ( "" _ ) ."
$ free ha heeeeeere come pump ! glad picked 9k end day ! get ready bull ride !,$ free ha heeeeeere come pump ! glad picked 9k end day ! get ready bull ride ! or 10 1 .
"finnish technology group aspocomp group oyj ( omx helsinki : acg1v ) issued third quarter report thursday ( 13 november ) , posting operating profit eur0 .4 , compared loss eur0 .5 third quarter 2007 .","finnish technology group aspocomp group oyj ( omx helsinki : acg1v ) issued third quarter report thursday ( 13 november ) , posting operating profit eur0 .4 , compared loss eur0 .5 third quarter 2007 . for , - : has ) , is or 1 2 ."
"building complex consists high-quality office retail space totalling 49,200 square metre , company said .","building complex consists high-quality office retail space totalling 49,200 square metre , company said . and or a 's at up ,"" of The , to to the ' from , this the , in , ."
finnish insurance company fennia kesko group ending loyal customer cooperation .,"finnish insurance company fennia kesko group ending loyal customer cooperation . - / and is s , / to or to and ."
unit planned operational second half 2007 full stream 2008 .,unit planned operational second half 2007 full stream 2008 . .
"itg 's share deal estimated 500,000 euro $ 627,000 .","itg 's share deal estimated 500,000 euro $ 627,000 . - 's by : _ for 's ."
plant expected enter commercial operation mid-2009 .,"plant expected enter commercial operation mid-2009 . was ( the and that is ing to ( "" ,"" ( it a ."
aspo also investigated sale opportunity kaukomarkkinat 's electronics business .,aspo also investigated sale opportunity kaukomarkkinat 's electronics business . : and - / in .
bg group appoints new ceo one month early,bg group appoints new ceo one month early the : ( ' is as is - and on _ ; 2 ( that _ of ) ] : is has the s - a : a to c
acquisition immediate positive impact aspocomp 's financial result .,"acquisition immediate positive impact aspocomp 's financial result . 's - 's o id en in is is ( , ."
"finnair 's passenger load factor , measure number sold seat share available seat , dropped 1.3 percentage point 76.7 % september .","finnair 's passenger load factor , measure number sold seat share available seat , dropped 1.3 percentage point 76.7 % september . are and a ."
rt @ bman1 $ lng look primed also $ eght poised run ...,rt @ bman1 $ lng look primed also $ eght poised run ... 's 3 4 : .
also 7.7 pct 12-month volume weighted average price stock .,"also 7.7 pct 12-month volume weighted average price stock . - in and the for as the - of - at of is I is in in of the - - that to in as is on , at for"
coke dividend - 3 % . google dividend - 0 % . passive income coke take . $ goog $ ko http : //t.co/qbsowjxost,coke dividend - 3 % . google dividend - 0 % . passive income coke take . $ goog $ ko http : //t.co/qbsowjxost .
"profit tax eur 5.4 mn , eur 3.6 mn year earlier .","profit tax eur 5.4 mn , eur 3.6 mn year earlier . in to is / at , ' and ."
subsidiary setting facility manufacturing high-density interconnection printed circuit board pcbs nokia 's special economic zone sriperumbudur near chennai .,subsidiary setting facility manufacturing high-density interconnection printed circuit board pcbs nokia 's special economic zone sriperumbudur near chennai . .
$ crm sep 40 call +35 % since entry # bang http : //stks.co/dedm,"$ crm sep 40 call +35 % since entry # bang http : //stks.co/dedm 0 - 3 2 , and , for "" a , 2 12 the ."
"january-june 2010 , diluted loss per share stood eur0 .3 versus eur0 .1 first half 2009 .","january-june 2010 , diluted loss per share stood eur0 .3 versus eur0 .1 first half 2009 . _ , a ."
rapala said estimate make saving 1-2 mln eur year centralising french operation one site .,rapala said estimate make saving 1-2 mln eur year centralising french operation one site . - and 's and for : ?
$ vmw got nice push today following small sweeper may c morning,"$ vmw got nice push today following small sweeper may c morning 2 , "" , The - ."
